Name,City,State,Score,Rank
Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,48.24,48
PSG College of Technology,Coimbatore,Tamil Nadu,47.21,49
College of Engineering Pune,Pune,Maharashtra,46.79,50
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,46.77,51
Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,46.45,52
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,46.13,53
Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,45.59,54
Visvesvaraya Technological University,Belgaum,Karnataka,45.37,55
Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,45.03,56
Jawaharlal Nehru Technological University,Hyderabad,Telangana,44.97,57
Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,44.70,58
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,43.74,59
Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,43.71,60
National Institute of Technology Meghalaya,Shillong,Meghalaya,43.69,61
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,43.55,62
Defence Institute of Advanced Technology,Pune,Maharashtra,43.13,63
Thiagarajar College of Engineering,Madurai,Tamil Nadu,43.11,64
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,42.17,65
Indian Institute of Information Technology Guwahati,Guwahati,Assam,41.92,66
National Institute of Technology Raipur,Raipur,Chhattisgarh,41.58,67
Punjab Engineering College (Deemed To Be University),Chandigarh,Chandigarh,41.43,68
College of Engineering(A),Visakhapatnam,Andhra Pradesh,41.36,69
R. V. College of Engineering,Bengaluru,Karnataka,41.02,70
Veermata Jijabai Technological Institute,Mumbai,Maharashtra,40.58,71
Panjab University,Chandigarh,Chandigarh,40.44,72
B.M.S. College of Engineering,Bengaluru,Karnataka,40.35,73
Indian Institute of Food Processing Technology (IIFPT),Thanjavur,Tamil Nadu,40.24,74
National Institute of Technology Agartala,Agratala,Tripura,39.98,75
Netaji Subhas University of Technology (NSUT),South West,Delhi,39.97,76
National Institute of Technology Goa,Ponda,Goa,39.93,77
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,39.68,78
National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,39.44,79
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,39.40,80
Indian Institute of Information Technology Design & Manufacturing Jabalpur,Jabalpur,Madhya Pradesh,39.29,81
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,39.24,82
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,38.83,83
Chandigarh University,Mohali,Punjab,38.82,84
College of Engineering Trivandrum,Thiruvananthapuram,Kerala,38.68,85
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,38.61,86
Lovely Professional University,Phagwara,Punjab,38.44,87
University College of Engineering,Hyderabad,Telangana,38.43,88
Graphic Era University,Dehradun,Uttarakhand,38.32,89
Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,38.24,90
Siddaganga Institute of Technology,Tumkur,Karnataka,38.23,91
National Institute of Technology Patna,Patna,Bihar,38.21,92
C.V. Raman Global University,Bhubaneswar,Odisha,37.94,93
PES University,Bengaluru,Karnataka,37.94,93
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,37.86,95
Jaypee Institute of Information Technology,Noida,Uttar Pradesh,37.80,96
University College of Engineering,Kakinada,Andhra Pradesh,37.77,97
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,37.73,98
Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,37.71,99
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,37.60,100
